feature,mean_abs_shap
symptom_count,0.7767890417213755
summary_word_count,0.5726198802402296
diagnosis_count,0.5636504125325073
medication_count,0.556153758663229
dialogue_word_count,0.5408633373524331
speaker_turn_count,0.513655221690616
has_yeah,0.4813675739633829
procedure_count,0.4147398779844983
other_count,0.39561189963459137
total_entities,0.36139632059864374
has_day,0.3222076477102747
has_family,0.31441607801688964
has_okay,0.3112461422618542
has_doing,0.31010941554054955
has_no.,0.30501660630675215
has_i'm,0.29806259590816125
has_years,0.2902260728566538
has_doctor,0.2766728557076605
has_hello,0.27351109692567166
has_smoke,0.25059808722492466
has_history,0.2497753236429958
has_anything,0.24152956333119527
has_pain,0.23766930606504558
has_ma'am,0.23605396511725088
has_symptoms,0.2337191721807838
has_surgery,0.1917674169045969
has_sure,0.16265083480293116
has_patient,0.1382047555409518
"has_no._
doctor",0.0971833748173737
unique_entity_ratio,0.0
